alpha,mu,alpha_s,G,G_F,coherence,fertility
0.008740645743261156,2077.77128890485,0.11245781431274644,2.5054448035482036e-10,1.5057499644741984e-05,0.10851550716200105,0.008987316167236787
0.006952945961176316,1774.5708996160138,0.11337016884199545,1.1144405576539e-10,1.4959508420506135e-05,0.48879089075492554,0.10408016062578745
0.008252278325998473,2084.6028919614946,0.0970843937434797,1.0638367881646558e-10,8.75191684698946e-06,0.20821759393944625,0.0025116467382638465
0.008281780831767616,1962.0704586862344,0.10807839505663534,4.198969523972242e-11,1.1667387254143273e-05,0.2750755296552545,0.013158401502427586
0.008686211010386701,1735.1071328465732,0.10177093546252719,1.6820090085860854e-10,1.3117169978847236e-05,0.1429244795641624,0.011409329018417085
0.006063297360532764,2033.8326319170287,0.11802267769932422,2.5017668069053963e-10,9.440710321940205e-06,0.12599749745369176,0.008284350004643398
0.0067645185941346995,1870.3930873565103,0.13618778752407446,2.9396233991645136e-10,8.989977858431223e-06,0.3591024100558736,0.0805473433642142
0.008522010059877589,2020.9293175409202,0.11447776382809842,1.2544564865430585e-10,8.502473638999846e-06,0.1845006762640247,0.0034330171584796513
0.007810705458040062,1846.5151746597123,0.11232103288162999,1.409666372888546e-10,1.4212193881001682e-05,0.4181571574625566,0.08745268191662241
0.006672188186593094,1741.0606071345155,0.11985944320171804,2.023422983107461e-10,1.623169581668155e-05,0.31142961302950983,0.010288652810352041
0.00697493517265294,1973.2366727639824,0.1101659049623489,2.4686533788416885e-10,8.519728074296271e-06,0.5170911198756288,0.20540879904431864
0.006509879372695475,2057.802329177501,0.11560852277181415,1.189821619860004e-10,9.820276789208223e-06,0.24125890420010176,0.12637034053037863
0.0063252318081279445,2075.912417207468,0.12695448206516524,1.284234911738392e-10,1.611455953036482e-05,0.17254256375852348,0.05450831820186079
0.006285753943119645,2100.580879853993,0.13098822100340235,1.7921545736861025e-10,9.943317766382305e-06,0.17181952266292264,0.05790512340784495
0.008681198285719876,1663.6045487350707,0.10256298677806643,8.963364519569666e-11,1.0073494317930167e-05,0.21019544264078988,0.004796624546926299
0.007075209041436513,1848.9253952966665,0.09903454533573244,3.0026303929516633e-10,1.3932046563856733e-05,0.6073271277207954,0.1718225696352145
0.006022195360004716,2091.5332837830406,0.11291295310256254,1.4330383695721372e-10,1.5795577394303302e-05,0.1312092433337385,0.014158548560065284
0.007272794013566493,1840.943422726446,0.1144705790554324,3.734894688871792e-11,7.055401062497738e-06,0.6597398948638915,0.2060953084509951
0.006679539359372941,1989.8382546867724,0.12239302099857378,4.6136284657171644e-11,1.4692541469330057e-05,0.392486299148866,0.12472802181816661
0.006455577645513387,1597.4393111606066,0.1382222230249426,3.201336862834453e-10,1.5029692550082618e-05,0.18970969150607142,0.004849352711614119
0.006443364942539934,1601.0444749798858,0.12411491101778488,1.7156254693114818e-10,1.5661094120152106e-05,0.20248644531784898,0.003000911382271528
0.007528008833668811,2058.6809184399444,0.09936437773225763,2.161768417115826e-10,1.0634959148549923e-05,0.5800103219462519,0.036790728860653564
0.007562539125728152,1638.9511061567537,0.11738149522758697,1.812797131564887e-11,8.696953744641414e-06,0.5660693068152498,0.19258837606160503
